"","SiteIdentification","Easting","Northing","Spacing","YieldClass","elevation","StemsPerHa","Height","Thinning","SoilMoistureRegime","SoilNutrientRegime","plantingYear","Year","treeID","BAI_cm","dbh_cm","lon","lat"
"1","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1977","SS01",35.8782991904496,2.13732705328689,-3.22969852931465,54.6077438645613
"2","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1977","SS07",NA,NA,-3.22969852931465,54.6077438645613
"3","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1977","SS12",NA,NA,-3.22969852931465,54.6077438645613
"4","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1977","SS16",NA,NA,-3.22969852931465,54.6077438645613
"5","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1977","SS17",NA,NA,-3.22969852931465,54.6077438645613
"6","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1977","SS20",NA,NA,-3.22969852931465,54.6077438645613
"7","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1977","SS22",NA,NA,-3.22969852931465,54.6077438645613
"8","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1977","SS26",NA,NA,-3.22969852931465,54.6077438645613
"9","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1977","SS28",NA,NA,-3.22969852931465,54.6077438645613
"10","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1977","SS32",NA,NA,-3.22969852931465,54.6077438645613
"11","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1978","SS01",74.2287134520775,3.07426305514021,-3.22969852931465,54.6077438645613
"12","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1978","SS07",NA,NA,-3.22969852931465,54.6077438645613
"13","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1978","SS12",NA,NA,-3.22969852931465,54.6077438645613
"14","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1978","SS16",NA,NA,-3.22969852931465,54.6077438645613
"15","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1978","SS17",NA,NA,-3.22969852931465,54.6077438645613
"16","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1978","SS20",NA,NA,-3.22969852931465,54.6077438645613
"17","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1978","SS22",NA,NA,-3.22969852931465,54.6077438645613
"18","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1978","SS26",NA,NA,-3.22969852931465,54.6077438645613
"19","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1978","SS28",NA,NA,-3.22969852931465,54.6077438645613
"20","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1978","SS32",NA,NA,-3.22969852931465,54.6077438645613
"21","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1979","SS01",124.34001072718,3.97887696028213,-3.22969852931465,54.6077438645613
"22","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1979","SS07",NA,NA,-3.22969852931465,54.6077438645613
"23","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1979","SS12",NA,NA,-3.22969852931465,54.6077438645613
"24","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1979","SS16",NA,NA,-3.22969852931465,54.6077438645613
"25","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1979","SS17",NA,NA,-3.22969852931465,54.6077438645613
"26","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1979","SS20",NA,NA,-3.22969852931465,54.6077438645613
"27","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1979","SS22",48.0691950333121,2.47393613498813,-3.22969852931465,54.6077438645613
"28","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1979","SS26",NA,NA,-3.22969852931465,54.6077438645613
"29","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1979","SS28",NA,NA,-3.22969852931465,54.6077438645613
"30","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1979","SS32",NA,NA,-3.22969852931465,54.6077438645613
"31","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS01",127.705645015213,4.03236750953184,-3.22969852931465,54.6077438645613
"32","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS07",NA,NA,-3.22969852931465,54.6077438645613
"33","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS12",NA,NA,-3.22969852931465,54.6077438645613
"34","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS16",NA,NA,-3.22969852931465,54.6077438645613
"35","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS17",NA,NA,-3.22969852931465,54.6077438645613
"36","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS20",NA,NA,-3.22969852931465,54.6077438645613
"37","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS22",62.2826398440953,2.81603835201156,-3.22969852931465,54.6077438645613
"38","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS26",NA,NA,-3.22969852931465,54.6077438645613
"39","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS28",NA,NA,-3.22969852931465,54.6077438645613
"40","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1980","SS32",NA,NA,-3.22969852931465,54.6077438645613
"41","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS01",176.460255976304,4.74000185636166,-3.22969852931465,54.6077438645613
"42","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS07",NA,NA,-3.22969852931465,54.6077438645613
"43","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS12",NA,NA,-3.22969852931465,54.6077438645613
"44","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS16",NA,NA,-3.22969852931465,54.6077438645613
"45","2013",320670,524315,1.7,22,320,1598.745274,23.4769784172662,"1","Fresh","Poor",1973,"1981","SS17",NA,NA,-3.22969852931465,54.6077438645613
