Year,week,Month,Tmax,Tmin,Tmean,Rain,SolarRad,FrostDays,MonthIrrig,VPD,RH,SWC
1973,1,1,8.6,-4.4,3.908333333,7.3,11.20382841,0,0,0.00111668,85.36188929,NA
1973,2,1,5.6,-5.1,0.735714286,1.9,5.518132426,3,0,0.000759926,88.11318364,NA
1973,3,1,5.525852205,-7.9,0.360057917,10.7,10.23161642,3,0,0.000974902,83.74955897,NA
1973,4,1,8.2,-2.1,3.335714286,28.5,6.537435925,1,0,0.000753835,90.87693132,NA
1973,5,2,10.9,-1.2,4.792857143,1.8,11.02340147,0,0,0.001237119,85.73934405,NA
1973,6,2,8.4,-1.2,4.578571429,5,11.26128148,0,0,0.001194761,85.81418788,NA
1973,7,2,7.1,-10.9,-0.714285714,13.2,11.11326154,4,0,0.001006466,82.2475142,NA
1973,8,2,9.7,-3.9,3.557142857,3.4,10.24841118,1,0,0.001126579,85.75779423,NA
1973,9,3,9.2,-7.6,1.057142857,12.1,17.4874802,3,0,0.001517963,77.06319173,NA
1973,10,3,10.7,-4.5,3.392857143,12.5,18.53709628,0,0,0.001751211,77.60325206,NA
1973,11,3,12.5,-3.8,3.8,0,22.47725189,0,0,0.002178355,73.17406422,NA
1973,12,3,14,-2.4,6.64375,0,21.76153995,0,0,0.002338489,76.1836619,NA
1973,13,3,11.3,-4.6,5.335714286,12.2,19.86964359,0,0,0.001917346,78.20648146,NA
1973,14,4,9.7,-4.7,3.607142857,25.7,16.9628875,0,0,0.00149715,80.99118843,NA
1973,15,4,12.5,-6,3.1,5.7,15.12916945,1,0,0.001504124,80.71973581,NA
1973,16,4,15.8,0,6.957142857,3.7,24.03847069,0,0,0.002636774,74.7118203,NA
1973,17,4,12,-1.7,4.9,14,15.76631611,0,0,0.001550376,82.04577864,NA
1973,18,5,11.9,-4.4,4.885714286,30.9,20.32958889,0,0,0.001854141,77.96306075,NA
1973,19,5,12.6,-0.6,6.757142857,12.6,20.28322915,0,0,0.002030472,79.34740388,NA
1973,20,5,14,-2.2,6.385714286,4,28.44442605,0,0,0.002878245,69.64243725,NA
1973,21,5,18.5,4.4,9.807142857,19.7,20.20602202,0,0,0.00239885,81.48421169,NA
1973,22,5,21.3,0.5,11.05,13,30.94204383,0,0,0.003887076,71.52739006,NA
1973,23,6,22,2.1,12.15,2.5,32.87345802,0,0,0.004422752,69.8104181,NA
1973,24,6,21.1,0,11.2,2,27.0338322,0,0,0.003387802,74.91275311,NA
1973,25,6,21.5,5.9,11.86378537,18.8,17.56994121,0,0,0.002360477,88.00309045,NA
1973,26,6,5.525852205,8.3,7.783724916,9,0,0,0,0,104.4793782,NA
1973,27,7,5.525852205,5.3,6.630786903,27.4,0.008249998,0,0,5.19E-05,101.4476016,NA
1973,28,7,19.5,2.4,10.53060246,24.8,11.17818625,0,0,0.001361733,93.58813495,NA
1973,29,7,18.2,8.9,13.45714286,13.8,21.51425326,0,0,0.0026014,83.17874115,NA
1973,30,7,17,2.8,11.17857143,8.1,27.25966098,0,0,0.003290254,75.05525357,NA
1973,31,8,23,6.5,14.81428571,15.3,35.02212588,0,0,0.004976727,70.72088147,NA
1973,32,8,17.2,6.6,11.70714286,61.2,22.30435342,0,0,0.002347696,82.96610537,NA
1973,33,8,25.6,5.2,14.83571429,0,40.95038869,0,0,0.006280092,63.4936062,NA
1973,34,8,22,4.4,11.81428571,9.8,24.61036666,0,0,0.003164915,78.25776004,NA
1973,35,8,20.5,6.9,13.08571429,15.7,24.53950356,0,0,0.003112956,79.80842881,NA
1973,36,9,20.1,7.9,14.25,2.1,21.41922579,0,0,0.00277936,83.00241863,NA
1973,37,9,20.7,1.3,11.15,1.3,29.30469363,0,0,0.003683959,72.46926556,NA
1973,38,9,19.3,1.4,11.55,5.2,26.92126788,0,0,0.003299559,75.66106188,NA
1973,39,9,13.7,1.2,8.471428571,19,19.23702387,0,0,0.002010041,81.67830019,NA
1973,40,10,20.4,-1.1,10.02857143,4.6,22.17496079,0,0,0.002610123,79.06034639,NA
1973,41,10,14.7,-1.5,7.057142857,13.6,16.93544561,0,0,0.001770251,82.64221454,NA
1973,42,10,8.3,-2.7,3.685714286,17,13.00330712,0,0,0.001253576,84.0628673,NA
1973,43,10,11.4,0.4,7.214285714,21.5,17.08887915,0,0,0.001689275,82.97342272,NA
1973,44,11,14.3,-1.5,6.4,0.1,19.28611733,0,0,0.002073658,78.49957177,NA
1973,45,11,12.1,-2.2,6.021428571,8.1,16.17294406,0,0,0.001618317,82.39631703,NA
1973,46,11,10.7,-4.6,2.835714286,7.6,14.0033963,1,0,0.001393662,81.76262067,NA
1973,47,11,9.8,-4.4,3.5,2.7,15.4735675,0,0,0.00152544,80.46384711,NA
1973,48,11,9.7,-8.5,-2.257142857,3.3,7.155918174,6,0,0.000889377,84.18224375,NA
1973,49,12,9.9,-6.8,2.292857143,20.2,12.1644853,3,0,0.001213886,83.59675813,NA
1973,50,12,8.2,-4.8,1.728571429,13.3,9.123856198,2,0,0.000986419,85.86564734,NA
1973,51,12,7,-5.5,0.9,29.8,7.724337919,3,0,0.000786201,87.54302801,NA
1973,52,12,9.6,-1.9,3.55625,18.9,10.52799494,0,0,0.001123479,86.17383422,NA
1973,53,12,9,0.9,4.95,2.1,17.92189099,0,0,0.001684857,80.61655395,NA
1974,1,1,9.3,-5,1.375,4.3,10.12145459,3,0,0.001095794,84.29420519,NA
1974,2,1,10,-1.8,2.621428571,49.1,12.31597857,0,0,0.001101132,85.4218116,NA
1974,3,1,9.3,-2.6,3.907142857,21.1,10.20066109,1,0,0.001034702,87.37721233,NA
1974,4,1,7.6,0.2,4.578571429,11.6,9.254891789,0,0,0.000981763,88.29839482,NA
1974,5,2,7.8,-1.5,3.564285714,21.4,11.33188121,0,0,0.001070935,86.29783855,NA
1974,6,2,7.3,-6.2,1.157142857,25.5,9.084739042,3,0,0.000869668,86.64096808,NA
1974,7,2,8.3,-4.2,3.164285714,40.2,9.661940277,0,0,0.000908295,87.94911911,NA
1974,8,2,8.1,0,3.921428571,3.3,11.57718044,0,0,0.001229582,84.8132201,NA
1974,9,3,9,-4,2.314285714,8.6,7.409469195,3,0,0.000849756,88.36758155,NA
1974,10,3,10.5,-1.9,2.55,14.2,8.376709451,0,0,0.000947719,87.7975631,NA
1974,11,3,8.9,-0.8,3.40625,15.6,8.652231984,0,0,0.000941659,88.48742076,NA
1974,12,3,13,-4.9,3.978571429,42.9,16.45845101,1,0,0.001543551,81.57453458,NA
1974,13,3,13.9,-4.2,3.807142857,0.9,19.1813049,0,0,0.001903111,76.67638006,NA
1974,14,4,16.3,-3.2,5.7,1.1,27.58014607,0,0,0.002836947,69.7715766,NA
1974,15,4,16.7,-4.6,4.7,5.9,25.85636232,0,0,0.002657843,71.12322549,NA
1974,16,4,14,-2.1,5.192857143,0.4,22.79569581,0,0,0.002315367,74.06024064,NA
1974,17,4,12.7,-2.8,4.757142857,3.8,21.07210806,0,0,0.002103383,75.73229875,NA
