SiteIdentification,Easting,Northing,Spacing,YieldClass,elevation,StemsPerHa,Height,Thinning,SoilMoistureRegime,SoilNutrientRegime,Year,meanRW_mm,RWsd_mm,mean_dbh_cm,dbhSD_cm,lon,lat,plantingYear
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1979,4.355,2.340523446,0.871,0.468104689,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1980,4.22,1.48492424,1.715,0.765089537,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1981,3.893333333,2.455205355,2.493666667,1.256130608,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1982,4.663333333,1.572270121,3.426333333,1.570584632,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1983,3.948,3.157969284,4.215933333,2.202178489,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1984,4.56,2.600480725,5.127933333,2.722274634,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1985,5.981428571,1.49199451,6.324219048,3.020673536,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1986,6.115555556,2.452407547,7.547330159,3.511155046,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1987,6.272222222,1.909016617,8.801774603,3.892958369,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1988,5.923333333,1.701139324,9.98644127,4.233186234,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1989,4.421,1.07880026,10.87064127,4.448946286,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1990,6.56,1.759191734,12.18264127,4.800784633,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1991,6.795,1.409414772,13.54164127,5.082667587,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1992,6.615,1.501978325,14.86464127,5.383063252,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1993,6.011,1.306764027,16.06684127,5.644416057,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1994,4.938,1.335355134,17.05444127,5.911487084,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1995,4.281,1.333437079,17.91064127,6.1781745,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1996,5.101,1.479199859,18.93084127,6.474014472,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1997,6.005,1.495781104,20.13184127,6.773170693,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1998,4.6,1.990879203,21.05184127,7.171346533,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,1999,4.713,2.038485549,21.99444127,7.579043643,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,2000,4.474,2.056670448,22.88924127,7.990377733,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,2001,4.347,1.967175358,23.75864127,8.383812804,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,2002,3.536,1.510939369,24.46584127,8.686000678,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,2003,3.218,1.650655089,25.10944127,9.016131696,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,2004,3.66,1.470615895,25.84144127,9.310254875,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,2005,2.89,1.480435371,26.41944127,9.606341949,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,2006,2.76,1.718778636,26.97144127,9.950097676,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,2007,3.073,1.310784752,27.58604127,10.21225463,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,2008,2.509,0.830668406,28.08784127,10.37838831,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,2009,3.378,2.677576848,28.76344127,10.91390368,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,2010,3.397,3.905415186,29.44284127,11.69498671,-3.229698529,54.60774386,1973
2013,320670,524315,1.7,22,320,1598.745274,23.47697842,1,Fresh,Poor,2011,3.402,3.552976217,30.12324127,12.40558196,-3.229698529,54.60774386,1973
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1971,1.23,0,0.246,0,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1972,2.223333333,1.594061898,0.690666667,0.31881238,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1973,2.298,1.459390284,1.150266667,0.610690436,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1974,3.986666667,1.579375404,1.9476,0.926565517,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1975,5.615,0.940420119,3.0706,1.114649541,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1976,5.54,1.562900234,4.1786,1.427229588,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1977,7.02875,1.617550507,5.58435,1.750739689,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1978,7.472222222,2.502547591,7.078794444,2.251249207,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1979,7.913333333,3.03408141,8.661461111,2.858065489,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1980,5.945555556,2.457158476,9.850572222,3.349497184,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1981,4.895555556,1.896616139,10.82968333,3.728820412,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1982,4.221,2.228255172,11.67388333,4.174471447,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1983,3.8,1.349419628,12.43388333,4.444355372,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1984,3.236,1.011184124,13.08108333,4.646592197,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1985,2.608181818,1.044364095,13.6027197,4.855465016,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1986,2.766363636,1.240905095,14.15599242,5.103646035,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1987,3.21,1.314830788,14.79799242,5.366612193,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1988,3.016363636,0.972206488,15.40126515,5.56105349,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1989,2.326363636,0.87901391,15.86653788,5.736856272,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1990,2.210909091,1.153936346,16.3087197,5.967643542,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1991,3.033636364,1.164382005,16.91544697,6.200519943,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1992,3.207272727,1.071579124,17.55690152,6.414835767,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1993,2.95,0.846935653,18.14690152,6.584222898,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1994,2.586363636,1.022695191,18.66417424,6.788761936,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1995,2.884545455,1.421086652,19.24108333,7.072979267,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1996,3.677272727,1.623194942,19.97653788,7.397618255,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1997,4.017272727,1.92867359,20.77999242,7.783352973,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1998,3.789090909,1.668469086,21.53781061,8.11704679,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,1999,3.303636364,1.95924104,22.19853788,8.508894998,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,2000,3.858181818,2.095064764,22.97017424,8.927907951,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,2001,4.412727273,2.393178184,23.8527197,9.406543588,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,2002,4.126363636,2.034110482,24.67799242,9.813365684,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,2003,3.608181818,1.763245974,25.39962879,10.16601488,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,2004,3.293636364,1.708041409,26.05835606,10.50762316,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,2005,4.041818182,2.009123282,26.8667197,10.90944782,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,2006,3.244545455,1.853841221,27.51562879,11.28021606,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,2007,2.914545455,1.96788904,28.09853788,11.67379387,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,2008,2.324545455,1.976716285,28.56344697,12.06913713,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,2009,2.88,2.461889518,29.13944697,12.56151503,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,2010,2.736363636,2.280974672,29.6867197,13.01770996,-3.262141921,54.61297313,1964
2042,318585,524934,2,12,280,1121.122401,21.41637168,1,Fresh,Poor,2011,2.751818182,2.008720081,30.23708333,13.41945398,-3.262141921,54.61297313,1964
2191,298434,191990,2,18,312.4,1428.750029,25.52878788,H,Moist,Very Poor,1976,2.0375,1.210161835,0.4075,0.242032367,-3.468385013,51.61754036,1971
2191,298434,191990,2,18,312.4,1428.750029,25.52878788,H,Moist,Very Poor,1977,3.5225,1.095547808,1.112,0.461141929,-3.468385013,51.61754036,1971
2191,298434,191990,2,18,312.4,1428.750029,25.52878788,H,Moist,Very Poor,1978,4.576,0.993544161,2.0272,0.659850761,-3.468385013,51.61754036,1971
