year,month,gpp,npp,nee,reco,rs,et,cumGPP,cumNPP,swc,timestamp
2015,1,1.977478393,1.127080379,-0.430496356,1.436255718,0.696584023,29.41854439,1.977478393,1.127080379,NA,01/01/2015
2015,2,3.446324581,2.297730374,-1.232720737,2.195896159,1.065009637,17.41204924,5.423802974,3.424810753,0.281332322,01/02/2015
2015,3,3.10162271,2.075774629,-1.200173073,1.805364032,0.875601556,26.22369997,8.525425684,5.500585382,0.278872117,01/03/2015
2015,4,3.470050381,2.62687822,-1.903762506,1.490960234,0.723115713,39.81023376,11.99547606,8.127463602,NA,01/04/2015
2015,5,5.678144455,4.048786438,-2.638476116,2.907856333,1.410310322,42.94435351,17.67362052,12.17625004,0.270785522,01/05/2015
2015,6,5.770657877,3.610984162,-1.681218905,3.978897438,1.929765257,34.6373368,23.4442784,15.7872342,NA,01/06/2015
2015,7,6.769337347,4.499085476,-2.529320514,4.061371055,1.969764962,38.37955989,30.21361574,20.28631968,NA,01/07/2015
2015,8,6.420010282,4.161169154,-2.192853708,4.058382362,1.968315446,43.47317257,36.63362603,24.44748883,0.2710821,01/08/2015
2015,9,4.802163203,3.141845175,-1.735304083,2.900084726,1.406541092,20.72285639,41.43578923,27.58933401,0.259854878,01/09/2015
2015,10,2.731731546,1.308733301,-0.104579937,2.482790441,1.204153364,16.27180692,44.16752078,28.89806731,0.266515406,01/10/2015
2015,11,1.308592253,0.240998336,0.587992027,1.709258479,0.828990362,40.31683565,45.47611303,29.13906564,0.294363889,01/11/2015
2015,12,1.002274572,-0.150762592,1.069598852,1.894507754,0.91883626,51.55919293,46.4783876,28.98830305,0.306464656,01/12/2015
2016,1,0.955746354,0.127084472,0.331167848,1.199613404,0.45825232,14.19077551,0.955746354,0.127084472,NA,01/01/2016
2016,2,1.762875442,0.773684537,-0.211389922,1.471975431,0.562294615,12.63620913,2.718621796,0.900769009,NA,01/02/2016
2016,3,3.424106504,2.214601529,-1.534862729,1.779420943,0.6797388,20.30580286,6.1427283,3.115370538,0.291713856,01/03/2016
2016,4,4.326106246,2.997331137,-2.240440433,1.981389278,0.756890704,28.00150215,10.46883455,6.112701675,0.282520133,01/04/2016
2016,5,5.414245245,3.550521708,-2.476268557,2.812181022,1.07425315,33.50402329,15.88307979,9.663223383,0.274760889,01/05/2016
2016,6,6.338908958,4.163164969,-2.875029961,3.372081173,1.288135008,34.916902,22.22198875,13.82638835,0.285874133,01/06/2016
2016,7,8.447561185,5.270731111,-3.428548528,4.822467494,1.842182583,56.1807754,30.66954993,19.09711946,0.285968328,01/07/2016
2016,8,7.122547197,4.190729845,-2.490105875,4.451895209,1.70062397,55.25725497,37.79209713,23.28784931,NA,01/08/2016
2016,9,5.385120268,3.114392501,-1.826725177,3.37085687,1.287667324,40.46827062,43.1772174,26.40224181,0.271814861,01/09/2016
2016,10,3.319343303,1.45365363,-0.40628225,2.741809894,1.04737138,11.95780849,46.4965607,27.85589544,0.264133761,01/10/2016
2016,11,2.228260623,0.658441119,0.199215729,2.245174995,0.857656848,9.243268858,48.72482133,28.51433656,NA,01/11/2016
2016,12,1.497886144,-0.180397841,1.073587049,2.338191645,0.893189208,12.03847142,50.22270747,28.33393872,0.282597928,01/12/2016
2017,1,1.400193087,0.236902159,0.355235015,1.591766596,0.592137174,7.848530316,1.400193087,0.236902159,NA,01/01/2017
2017,2,1.758546576,0.714985651,-0.121728596,1.594777029,0.593257055,5.631589037,3.158739663,0.951887809,NA,01/02/2017
2017,3,3.338171802,2.205569426,-1.554913856,1.749074114,0.650655571,16.18572452,6.496911464,3.157457236,0.296441761,01/03/2017
